Calories,Protein,Fat,Carbs,Fibre,Condition,IF,AND,OR,"Note: Protein, Fat, Carbs, Fibre, are measured in grams"
102,0,,26,0,FALSE,Not Healthy,Bad,,
123,0,0,33,0,FALSE,Not Healthy,Bad,,
88,0,0,23,0,FALSE,Not Healthy,Bad,,
211,2,9,28,0,TRUE,Not Healthy,Bad,,
127,3,1,27,0,FALSE,Not Healthy,Bad,,
127,3,2,26,0,FALSE,Not Healthy,Bad,,
91,0,0,23,0,FALSE,Not Healthy,Bad,,
93,,,23,0,FALSE,Not Healthy,Bad,,
105,,,27,0.2,FALSE,Not Healthy,Bad,,
104,0,0,27,0,FALSE,Not Healthy,Bad,,
172,1,8,11,0,TRUE,Healthy,Bad,,
113,,,29,0.3,FALSE,Not Healthy,Bad,,
0,0,0,,0,FALSE,Healthy,Bad,,
134,0,,34,0,FALSE,Not Healthy,Bad,,
135,0,0,34,0,TRUE,Not Healthy,Bad,,
126,0,0,32,0,FALSE,Not Healthy,Bad,,
87,,,12,0.1,FALSE,Healthy,Bad,,
109,0,0,0,0,FALSE,Healthy,Bad,,
29,0,0,8,0,FALSE,Healthy,Bad,,
67,0,,16,0,FALSE,Healthy,Bad,,
3,0,,1,0,FALSE,Healthy,Bad,,
3,0,,1,0,FALSE,Healthy,Bad,,
124,0,0,32,0,FALSE,Not Healthy,Bad,,
220,,1,33,0.3,TRUE,Not Healthy,Bad,,
0,0,0,0,0,FALSE,Healthy,Bad,,
0,0,0,0,0,FALSE,Healthy,Bad,,
203,,0,17,0,TRUE,Healthy,Bad,,
90,,0,2,0,FALSE,Healthy,Bad,,
85,,0,1,0,FALSE,Healthy,Bad,,
104,9,1.4,12,2,FALSE,Healthy,Bad,,
177,11,9.3,1,14,TRUE,Healthy,Good,,
186,12,9.4,1,15,TRUE,Healthy,Good,,
167,10,8.7,,14,TRUE,Healthy,Good,,
150,10,7.6,,12,TRUE,Healthy,Good,,
202,12,10.5,1,17,TRUE,Healthy,Good,,
141,14,5.8,1,9,TRUE,Healthy,Good,,
86,15,0.8,3,1,FALSE,Healthy,Bad,,
70,3,3.4,2,5,FALSE,Healthy,Bad,,
103,2,6.5,1,10,FALSE,Healthy,Bad,,
179,12,8.8,1,14,TRUE,Healthy,Good,,
132,7,7.7,2,11,FALSE,Healthy,Bad,,
134,9,7.3,,11,FALSE,Healthy,Bad,,
178,13,9,1,14,TRUE,Healthy,Good,,
207,15,9.5,,16,TRUE,Healthy,Good,,
120,8,4.4,6,7,FALSE,Healthy,Bad,,
141,10,6.8,1,11,TRUE,Healthy,Good,,
127,13,5.2,1,8,FALSE,Healthy,Bad,,
27,2,1.1,,2,FALSE,Healthy,Bad,,
78,5,4.1,,7,FALSE,Healthy,Bad,,
50,4,1.8,2,3,FALSE,Healthy,Bad,,
90,5,4.1,3,7,FALSE,Healthy,Bad,,
69,6,2.2,4,3,FALSE,Healthy,Bad,,
181,15,6.5,7,10,TRUE,Healthy,Good,,
25,2,1.1,,2,FALSE,Healthy,Bad,,
190,13,8.9,3,14,TRUE,Healthy,Good,,
70,5,3.3,,5,FALSE,Healthy,Bad,,
207,9,3.4,33,6,TRUE,Not Healthy,Good,,
238,10,3.3,38,5,TRUE,Not Healthy,Good,,
21,,0.3,2,2,FALSE,Healthy,Bad,,
11,,0.6,1,1,FALSE,Healthy,Bad,,
9,,0.1,1,,FALSE,Healthy,Bad,,
18,,1,1,2,FALSE,Healthy,Bad,,
39,,2.1,2,3,FALSE,Healthy,Bad,,
60,,4.1,4,5,FALSE,Healthy,Bad,,
42,1,2.1,4,2,FALSE,Healthy,Bad,,
37,1,2,3,2,FALSE,Healthy,Bad,,
